crash_year,hour_of_day,latitude,longitude
2016,15,40 03:45.914,75 03:27.576
2016,11,40 04:55.794,74 58:00.797
2016,6,39 58:30.439,75 11:40.428
2016,19,40 02:08.664,75 13:01.515
2016,15,39 57:03.938,75 10:19.451
2016,8,39 58:20.021,75 13:33.541
2016,18,39 59:05.784,75 09:29.717
2016,8,40 00:44.252,75 10:31.467
2017,1,40 02:40.636,75 03:16.819
2017,7,39 58:09.631,75 08:35.678
2017,14,40 02:56.392,75 04:14.501
2017,18,39 54:12.207,75 09:01.382
2017,0,40 03:04.474,74 59:21.013
2017,10,39 56:06.594,75 09:15.253
2017,13,40 04:52.138,75 02:20.765
2017,14,40 04:28.636,75 04:27.060
2017,8,39 55:06.769,75 11:03.739
2017,15,39 56:49.710,75 13:36.187
2017,14,40 02:01.012,75 01:11.813
2017,7,40 01:27.283,75 01:50.962
2017,13,40 02:57.846,74 59:42.146
2017,1,39 55:45.317,75 10:07.238
2017,15,39 54:50.789,75 08:59.633
2017,99,39 54:11.988,75 14:35.285
2017,20,39 59:04.850,75 09:23.377
2017,12,39 54:59.771,75 10:09.201
2017,18,39 57:45.760,75 11:00.544
2017,9,40 02:12.744,75 02:26.410
2017,22,39 59:27.918,75 07:58.290
2017,16,40 01:30.262,75 07:02.589
2017,9,39 56:46.590,75 08:32.821
2017,15,39 59:35.757,75 10:10.930
2017,17,40 00:13.629,75 09:26.557
2017,3,39 58:23.235,75 07:55.560
2017,7,39 55:03.846,75 13:50.347
2017,12,39 58:51.435,75 09:47.359
2017,19,39 56:14.629,75 09:46.965
2017,1,40 03:07.927,75 06:00.151
2017,22,39 58:14.056,75 11:34.455
2017,20,39 58:07.640,75 13:07.874
2017,16,39 55:34.714,75 08:48.202
2017,10,39 55:26.531,75 08:50.837
2017,14,40 02:05.600,75 06:35.400
2017,23,40 01:39.836,75 06:35.867
2017,19,40 05:42.090,74 57:33.868
2017,17,39 55:38.651,75 08:42.007
2017,99,39 59:01.710,75 07:10.084
2017,17,40 02:17.486,75 09:59.933
2017,15,40 00:50.684,75 08:50.294
2017,2,39 57:30.637,75 09:56.095
2017,15,40 01:15.937,75 08:23.758
2017,15,39 59:21.050,75 11:01.006
2017,15,40 02:14.961,75 05:11.395
2017,22,39 58:28.976,75 11:54.231
2017,18,40 00:24.556,75 05:55.749
2017,2,40 04:44.520,75 01:48.217
2017,8,40 02:17.558,75 11:24.246
2017,1,39 57:36.586,75 10:50.917
2017,18,40 02:57.292,75 04:00.454
2017,12,39 57:37.768,75 14:29.213
2017,6,39 57:14.400,75 08:24.900
2017,18,40 00:54.079,75 08:06.611
2017,9,39 57:34.444,75 11:49.297
2017,16,40 00:45.180,75 09:08.195
2017,16,40 01:44.600,75 08:48.517
2017,19,39 58:09.431,75 11:31.852
2017,4,39 54:58.192,75 13:11.511
2017,14,39 59:17.101,75 09:27.205
2017,15,39 56:26.318,75 13:17.587
2017,8,39 57:11.353,75 14:55.491
2017,1,39 58:02.848,75 13:58.098
2017,20,39 55:36.977,75 13:39.603
2017,11,39 56:55.287,75 14:15.021
2017,5,39 57:36.600,75 10:48.924
2017,0,39 54:13.461,75 10:25.771
2017,3,39 59:13.879,75 08:19.052
2017,20,40 02:50.499,74 59:47.181
2017,10,40 02:45.217,75 07:49.707
2017,19,40 01:55.826,75 05:30.584
2017,12,39 58:06.684,75 07:42.750
2017,9,40 01:44.415,75 11:24.856
2017,18,39 54:33.260,75 11:35.705
2017,18,40 00:05.152,75 09:05.810
2017,12,39 58:58.028,75 10:37.071
2017,6,40 00:31.246,75 04:11.252
2017,1,40 02:29.921,75 08:39.019
2017,18,39 58:55.644,75 06:02.083
2017,9,40 03:35.475,75 10:24.377
2017,20,40 01:41.311,75 02:36.391
2017,2,39 58:54.699,75 12:26.836
2017,13,40 03:57.202,75 10:35.464
2017,15,40 01:57.808,75 04:19.924
2017,9,39 59:23.573,75 12:21.054
2017,99,40 00:56.197,75 12:31.797
2017,18,39 55:57.631,75 12:00.133
2017,23,39 57:56.127,75 13:54.886
2017,20,39 56:44.081,75 09:54.491
2017,19,39 58:34.758,75 07:10.994
2017,20,40 01:40.946,75 06:36.204
2017,20,40 01:35.125,75 02:32.330
2017,16,39 55:42.820,75 08:40.147
2017,0,40 02:31.388,75 10:55.460
